Year,Measure,Sub-Measure,Sub-Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Units
2009,Economic Impact,Total,Total,15038.84845,16922.03693,19415.13819,39395.13677,45971.94705,37166.92846,46348.58637,56126.9193,41479.49517,29697.77019,16357.26985,14926.90845,378846.9852,£000s
2010,Economic Impact,Indirect Expenditure,Indirect Expenditure,2776.735462,4231.128194,5241.781923,10292.09079,11633.58253,11333.99293,12654.61129,14646.73821,12356.97168,7706.99155,4010.016138,3378.740927,100263.3816,£000s
2010,Economic Impact,Direct Revenue,Direct Revenue,6942.566712,10314.80876,12893.95355,25307.63014,28794.78071,27956.35914,30963.10329,35944.7608,30483.74755,18963.99671,9946.719498,8381.094719,246893.5216,£000s
2010,Economic Impact,VAT,VAT,1214.949175,1805.091533,2256.441871,4428.835274,5039.086625,4892.36285,5418.543075,6290.33314,5334.655822,3318.699424,1740.675912,1466.691576,43206.36628,£000s
2010,Economic Impact,Serviced Accommodation,Serviced Accommodation,2041.781142,2670.688493,3255.521672,4515.366756,5070.88933,5123.350545,5882.678686,6420.182622,5218.746021,4856.182453,3123.251355,2580.826175,50759.46525,£000s
2010,Economic Impact,Non-Serviced Accommodation,Non-Serviced Accommodation,1769.577876,3653.239839,4239.610924,7505.939187,13493.50155,14981.90494,15879.63472,19727.68324,14285.65259,6368.076265,3390.021743,2734.726678,108029.5696,£000s
2010,Economic Impact,SFR,SFR,767.2068957,270.6647643,310.1972682,658.8658948,467.7034998,379.469403,560.3636368,590.1911029,343.1861938,315.6641834,241.9410256,691.5422014,5596.99607,£000s
2010,Economic Impact,Day Visitor,Day Visitor,6355.685435,9756.43539,12586.84748,27348.38437,26435.35549,23697.99003,26713.5806,30143.77518,28327.79024,18449.76478,8942.197424,7219.432169,225977.2386,£000s
2010,Economic Impact,Accommodation,Accommodation,1095.975258,1686.958227,1954.575809,2842.973427,3593.373921,3818.598355,5540.243812,6258.082213,3784.436451,2896.380069,1758.897067,1479.213945,36709.70855,£000s
2010,Economic Impact,Food & Drink,Food & Drink,1828.339102,2694.988013,3384.850167,6804.103108,7707.648965,7460.107011,7821.202218,9125.522866,8165.385154,4975.799159,2567.922855,2179.322213,64715.19083,£000s
2010,Economic Impact,Recreation,Recreation,704.3805237,1044.320756,1327.679229,2730.973686,3172.86727,3063.880139,3181.299343,3751.650068,3353.693183,1952.027769,996.9871672,835.7857194,26115.54485,£000s
