Year,Measure,Sub-Measure,Sub-Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Units
2009,Vehicle Days,Day Visitor,Day Visitor,74.74857762,98.89292901,115.6339526,214.0628368,217.4642305,188.3874629,199.0758061,247.1286341,205.5921753,174.2245976,89.39193054,69.45572699,1894.05886,000s
2009,Vehicle Days,Total,Total,122.4602341,162.8339555,178.7310992,302.5360652,365.8542769,318.8041322,338.4190445,410.8117952,337.6372367,260.2400785,144.9632541,114.3342884,3057.62546,000s
2009,Vehicle Numbers,Serviced Accommodation,Serviced Accommodation,9.92027974,12.76513421,14.24902269,15.81231632,16.98876156,15.79025777,17.32242122,17.97780277,16.86658493,18.44638891,15.62082615,11.9592586,183.7190549,000s
2009,Vehicle Numbers,Non-Serviced Accommodation,Non-Serviced Accommodation,3.599094032,6.087355614,5.71078103,10.24330819,18.0711786,15.32961969,14.222117,17.16079938,14.01017075,8.337371549,4.917872256,3.194795734,120.8844638,000s
2009,Vehicle Numbers,SFR,SFR,2.557665315,0.941972325,1.027343089,1.750813143,1.527801791,1.197173169,1.598084492,1.601666887,1.065645618,1.06534876,0.872050216,1.998021157,17.20358596,000s
2009,Vehicle Numbers,Day Visitor,Day Visitor,74.74857762,98.89292901,115.6339526,214.0628368,217.4642305,188.3874629,199.0758061,247.1286341,205.5921753,174.2245976,89.39193054,69.45572699,1894.05886,000s
2009,Vehicle Numbers,Total,Total,90.82561671,118.6873912,136.6210994,241.8692745,254.0519725,220.7045135,232.2184289,283.8689032,237.5345766,202.0737068,110.8026792,86.60780248,2215.865965,000s
2009,Accommodation,Serviced Accommodation,Serviced Accommodation,6463.623816,6481.229984,6506.362376,6515,6515,6515,6515,6515,6515,6515,6495.370391,6482.070985,6515,Bed Spaces
2009,Accommodation,Non-Serviced Accommodation,Non-Serviced Accommodation,11970.87179,12643.64004,17826.92425,21088.14057,21097.24686,21097.24686,21101.8,20989.78107,21092.26777,19760.21826,14455.09556,12881.92154,21101.8,Bed Spaces
2009,Accommodation,Total,Total,18434.49561,19124.87003,24333.28663,27603.14057,27612.24686,27612.24686,27616.8,27504.78107,27607.26777,26275.21826,20950.46595,19363.99252,27616.8,Bed Spaces
2009,Economic Impact,Total,Total,18937.38809,20877.50892,23666.58212,45376.54024,53400.57412,44134.7451,55803.51799,67028.76206,49021.25928,36448.75821,21114.39893,19191.26599,455001.301,£000s
2010,Economic Impact,Indirect Expenditure,Indirect Expenditure,3520.121279,5281.699653,6417.627897,11912.97075,13660.49542,13442.82657,15153.9349,17550.12593,14514.6221,9422.471047,5152.445726,4322.231829,120351.5731,£000s
2010,Economic Impact,Direct Revenue,Direct Revenue,9137.401177,13281.55642,16285.53595,29906.62955,34521.14634,33798.92647,37783.71548,43868.103,36468.93234,23874.83153,13276.81777,11102.43608,303306.0321,£000s
2010,Economic Impact,VAT,VAT,1599.045206,2324.272374,2849.968792,5233.660172,6041.200609,5914.812132,6612.15021,7676.918026,6382.06316,4178.095517,2323.443109,1942.926313,53078.55562,£000s
2010,Economic Impact,Serviced Accommodation,Serviced Accommodation,4812.604616,6073.245309,7270.321656,9621.359309,10879.0638,10701.96004,12400.41429,13793.75971,11020.4585,10560.71026,7205.176484,5848.616075,110187.6901,£000s
2010,Economic Impact,Non-Serviced Accommodation,Non-Serviced Accommodation,2321.070716,4787.182986,5385.76624,9424.650906,16440.71957,18377.14569,19875.44207,24567.42097,17674.18266,8149.258866,4363.39167,3608.003775,134974.2361,£000s
2010,Economic Impact,SFR,SFR,767.2068957,270.6647643,310.1972682,658.8658948,467.7034998,379.469403,560.3636368,590.1911029,343.1861938,315.6641834,241.9410256,691.5422014,5596.99607,£000s
2010,Economic Impact,Day Visitor,Day Visitor,6355.685435,9756.43539,12586.84748,27348.38437,26435.35549,23697.99003,26713.5806,30143.77518,28327.79024,18449.76478,8942.197424,7219.432169,225977.2386,£000s
2010,Economic Impact,Accommodation,Accommodation,2324.301658,3272.781843,3765.510301,5178.753827,6297.701935,6482.407831,9159.185953,10374.72246,6556.713297,5476.613521,3581.192698,2964.212567,65434.09789,£000s
